Description,Extension,Category,MIME type
Toribash Help File,.wbt,Game Files,Unknown
Revit Family File,.rfa,Data Files,Unknown
HotDocs PDF Document,.hpd,Page Layouts,Unknown
Motorola S19 File Record,.s19,Developer Files,Unknown
MilkDrop Winamp Plug-in Preset,.milk,Plugin Files,Unknown
Quite OK Image Format,.qoi,Raster Images,Unknown
Nintendo 3DS ROM,.3ds,Game Files,Unknown
SimpleK Database File,.lgc,Database Files,Unknown
Find Fast Document List,.ffl,System Files,Unknown
Piskel Sprite,.piskel,Raster Images,Unknown
Portfolio Graphics Image,.pgf,Images,Unknown
Clarify Document,.clarify,Vector Images,Unknown
OpenOffice.org Configuration File,.xcu,Settings Files,Unknown
CleanSweep Installation Log,.iil,Text,Unknown
Comic Life Document,.comiclife,Page Layouts,Unknown
True Image Script,.tis,Backup Files,Unknown
Web Video Text Tracks File,.vtt,Video,text/vtt
Bzip Compressed File,.bz,Compressed,application/x-bzip
PCO Image,.b16,Images,image/vnd.pco.b16
RISE Editor Model File,.rise,Developer Files,Unknown
Windows Chinese Traditional Noise-Word List File,.cht,System Files,Unknown
Apache HTACCESS File,.htaccess,Web Files,Unknown
SmartMusic Accompaniment File,.smpx,Audio,Unknown
Genetec Video File,.g64,Video,Unknown
iGrafx Document Template,.igt,Vector Images,Unknown
Android Pony Express Package File,.apex,Compressed,Unknown
Memory-Map QuickChart File,.qct,GIS Files,Unknown
ANSI Text File,.ans,Text,Unknown
YAML Document,.yml,Developer Files,application/yaml
MissionPlayer Game File,.playmission,Game Files,Unknown
Microsoft Excel Toolbar Settings File,.xlb,Settings Files,application/vnd.ms-excel
BookSmart Book File,.book,Page Layouts,application/vnd.framemaker
Adlib Instrument Bank,.bnk,Audio,Unknown
MyDraw XML Drawing,.ndx,Vector Images,Unknown
Virus Executable File,.vexe,Executable,Unknown
Vielklang Audio Metadata File,.zpa,Audio,Unknown
DupArchive Format File,.daf,Compressed,application/vnd.mobius.daf
Microsoft Crash Report File,.cvr,Misc Files,Unknown
Yugioh Card Maker File,.ycm,Game Files,Unknown
Android CA Digital Certificate,0,System Files,Unknown
LEGO MINDSTORMS NXT Program,.rbt,Data Files,Unknown
Extensible Binding Language File,.xbl,Web Files,Unknown
IsoBuster Address File,.ibadr,Disk Images,Unknown
File Crypt Password File,.rzk,Text,Unknown
Virtual Machine Disk File,.vmdk,Disk Images,Unknown
ACID Encrypted File,.acid,Encoded Files,Unknown
SuperREP Compressed File,.srep,Compressed,Unknown
Apple Baseband Firmware Update,.bbfw,System Files,Unknown
XZ Compressed Tar Archive,.txz,Compressed,application/x-tar
RIPTerm Image,.icn,Images,Unknown
Tekla Structures Model File,.db1,CAD Files,Unknown
Possible Virus File,.zvz,Web Files,Unknown
Olympus RAW File,.orf,Camera Raw Image,image/x-olympus-orf
Gizmo Virtual Drive File,.gdrive,Disk Images,Unknown
AVIF Image,.avif,Raster Images,image/avif
AVS Video Editor Project File,.vep,Video,Unknown
Summation Batch Load File,.dii,Data Files,application/DII
CutOut Project,.ldoc,Raster Images,Unknown
STAAD.foundation Project File,.afs,CAD Files,Unknown
Turing Source Code File,.t,Developer Files,text/troff
PageMaker 5.0 Document,.pm5,Page Layouts,Unknown
Koala Paint (Compressed) Image,.gg,Images,Unknown
7-Zip Split Archive Part 1 File,.7z.001,Compressed,Unknown
High Efficiency Image Format,.hif,Raster Images,image/avif
Device Metadata Package,.devicemetadata-ms,System Files,Unknown
QEWE Ransomware Encrypted File,.qewe,Encoded Files,Unknown
3D Movie Maker Movie Project,.3mm,Video,Unknown
Norton Antivirus Preferences File,.vcpref,Settings Files,Unknown
Asus App Backup File,.abu,Backup Files,Unknown
Male MRI Image,.t2,Images,Unknown
Pack200 Packed Jar File,.pack,Encoded Files,Unknown
Deliveries Package Tracker Backup,.orrs,Backup Files,Unknown
Genie Timeline Backup Index File,.gbp,Backup Files,Unknown
PlayStation 3 Theme File,.p3t,Game Files,Unknown
C++ Source File,.cxx,Source Code,text/x-c
AutoCAD Electrical Project File,.wdp,CAD Files,Unknown
OpenStreetMap Map,.osm,GIS Files,application/vnd.openstreetmap.data+xml
IROAD Dash Cam Video File,.jdr,Video,Unknown
Python Toolbox,.pyt,GIS Files,Unknown
Log File,.klg,Text,Unknown
Form•Z Preferences File,.zpf,Settings Files,Unknown
Decrypted 3DS Pokémon Save File,.pkx,Game Files,Unknown
Portable Arbitrary Map Image,.pam,Raster Images,Unknown
PHP Archive,.phar,Executable,Unknown
Pdplayer Command File,.pdpcmd,Text,Unknown
Visual Basic Project Template,.vbz,Developer Files,Unknown
paint.net Image,.pdn,Raster Images,Unknown
CrazyTalk Script File,.cts,Audio,Unknown
Ensoniq ASR Disk Image,.eda,Disk Images,Unknown
Thunder Incomplete Download File,.td,Misc Files,application/urc-targetdesc+xml
Kid Pix Presentation,.kpp,Data Files,Unknown
Adlib Tracker II Instrument Bank with Macros,.a2w,Audio,Unknown
KeepSafe File,.hid,Encoded Files,Unknown
Sealed Microsoft Excel Spreadsheet,.sxls,Encoded Files,application/vnd.sealed.xls
Microsoft Excel Macro,.xlm,Metadata Files,application/vnd.ms-excel
Photo Explorer Thumbnail Archive,.pe4,Raster Images,Unknown
Painter Raster Image,.rif,Raster Images,application/reginfo+xml
FlashForge 3D Printing File,.gx,CAD Files,Unknown
OpenBSD Readme File,.openbsd,Text,Unknown
rFactor Modification File,.rfm,Game Files,Unknown
DAO Disk Image,.dao,Disk Images,Unknown
WebsitePanel Backup File,.wspak,Backup Files,Unknown
MySQL MyISAM Index File,.myi,Data Files,Unknown
Norton Commander Extension,.ext,Plugin Files,application/vnd.novadigm.ext
Wick Editor Project,.wick,Compressed,Unknown
GCA File Archive,.gca,Compressed,Unknown
Android Smali Assembly Language File,.smali,Developer Files,Unknown
Certificate Signing Request File,.csr,Web Files,Unknown
Adobe InDesign Snippet File,.inds,Page Layouts,Unknown
Dialogic Voice Audio File,.vox,Audio,application/x-authorware-bin
Logicly Circuit,.logicly,CAD Files,Unknown
