Extension,Metadata,Category,MIME Type
.nwd,NavisWorks snapshot,"3D graphics, CAD",
.slddrw,SolidWorks CAD drawing,"3D graphics, CAD",
.igs,IGES 3D exchange format,"3D graphics, CAD",model/iges
.3dxml,Dassault Systems Universal 3D XML document,"3D graphics, CAD",
.dae,Collada 3D digital asset exchange data,"3D graphics, CAD",
.smg,3DVia Composer model,"3D graphics, CAD",
.wrl,VRML Worlds 3D graphics,"3D graphics, CAD",model/vrml
.sat,3D ACIS model,"3D graphics, CAD",
.rpf,Autodesk AutoCAD pattern definition,"3D graphics, CAD",
.catpart,CATIA part data,"3D graphics, CAD",
.pts,PointCloud 3D data,"3D graphics, CAD",
.3mf,3D Manufacturing Format,"3D graphics, CAD",
.vwx,VectorWorks design,"3D graphics, CAD",
.mi,CoCreate CAD drawing,"3D graphics, CAD",
.ma,Autodesk Maya ASCII scene,"3D graphics, CAD",application/mathematica
.sh3d,Sweet Home 3D design,"3D graphics, CAD",
.fbx,Autodesk Kaydara 3D data exchange format,"3D graphics, CAD",
.mvl,Medison 3D volume data,"3D graphics, CAD",
.nc1,Xsteel CAD drawing,"3D graphics, CAD",
.brd,EAGLE Circuit Board data,"3D graphics, CAD",
.ply,Polygon graphics,"3D graphics, CAD",
.plan,Chief Architect plan,"3D graphics, CAD",
.pla,ArchiCAD project archive,"3D graphics, CAD",
.sxe,ProfiCAD document,"3D graphics, CAD",
.crv3d,Vectric Aspire 3D drawing,"3D graphics, CAD",
.pcb,Printed circuit board design,"3D graphics, CAD",
.mcd,VectorWorks drawing,"3D graphics, CAD",application/vnd.mcd
.ms14,NI Multisim circuit design,"3D graphics, CAD",
.exp,CATIA export data,"3D graphics, CAD",
.eprt,SolidWorks eDrawing part file,"3D graphics, CAD",
.dwf,Autodesk Design Web Format,"3D graphics, CAD",model/vnd.dwf
.dsf,DAZ Studio 3D graphics,"3D graphics, CAD",
.model,CATIA V4 model,"3D graphics, CAD",
.e3a,Carrier HAP project,"3D graphics, CAD",
.lay,Pro/ENGINEER layout,"3D graphics, CAD",
.pcbdoc,Printed circuit board description,"3D graphics, CAD",
.lxf,LEGO CAD scene,"3D graphics, CAD",
.edrw,SolidWorks eDrawing data file,"3D graphics, CAD",
.opj,OrCAD capture project file,"3D graphics, CAD",
.a3p,Alice 3 project,"3D graphics, CAD",
.xv2,V-XVL geometry data,"3D graphics, CAD",
.emp,Pro/ENGINEER import ECAD data,"3D graphics, CAD",
.sdfa,exocad 3D data,"3D graphics, CAD",
.catdrawing,CATIA drawing,"3D graphics, CAD",
.dwl2,AutoCAD locked drawing,"3D graphics, CAD",
.cdw,KOMPAS CAD drawing,"3D graphics, CAD",
.idw,Autodesk Inventor drawing,"3D graphics, CAD",
.iam,Autodesk Inventor assembly data,"3D graphics, CAD",
.scdoc,SpaceClaim 3D CAD document,"3D graphics, CAD",
.stpz,Catia compressed STEP document,"3D graphics, CAD",
.nwf,NavisWorks project,"3D graphics, CAD",
.tcw,TurboCAD for Windows drawing,"3D graphics, CAD",
.slc,3D Systems SLiCe countour data,"3D graphics, CAD",application/vnd.wap.slc
.123dx,Autodesk 123D 3D model design,"3D graphics, CAD",
.gerber,Printed circuit board photoplotter data,"3D graphics, CAD",
.pmx,MikuMikuDance model,"3D graphics, CAD",
.mp,Autodesk Maya personal learning edition data,"3D graphics, CAD",
.pho,Gerber photoplot data,"3D graphics, CAD",
.pkg,OneSpace designer package,"3D graphics, CAD",application/octet-stream
.she,Medusa 2D CAD data,"3D graphics, CAD",
.usdz,Universal Scene Description 3D data (zipped package),"3D graphics, CAD",
.dsn,Proteus Design Suite electronics design file,"3D graphics, CAD",
.ifc,Industry Foundation Classes 3D file format,"3D graphics, CAD",
.dch,DipTrace schematics,"3D graphics, CAD",
.schdoc,Altium Designer schematic capture binary data,"3D graphics, CAD",
.3drep,3D geometry data file,"3D graphics, CAD",
.blk,AutoCAD block template,"3D graphics, CAD",
.sld,Autodesk AutoCAD slide,"3D graphics, CAD",
.mesh,3D Graphic data,"3D graphics, CAD",model/mesh
.gko,Gerber keep out layer,"3D graphics, CAD",
.ros,Dynamite VSP rail object style data,"3D graphics, CAD",
.gbr,Gerber (PCB) design,"3D graphics, CAD",application/vnd.gerber
.anim,Unity animation clip,"3D graphics, CAD",
.pmd,MikuMikuDance 3D model,"3D graphics, CAD",
.3d,3D drawing CAD data,"3D graphics, CAD",
.exb,Caxa CAD drawing,"3D graphics, CAD",
.rvm,AVEVA PDMS project,"3D graphics, CAD",
.hsf,HOOPS 3D graphics,"3D graphics, CAD",
.rsdoc,DesignSpark Mechanical 3D document,"3D graphics, CAD",
.gh,Grasshopper assembly file,"3D graphics, CAD",
.ems,eMachineShop CAD design file,"3D graphics, CAD",
.dgn,MicroStation drawing,"3D graphics, CAD",
.cgr,CATIA MultiCAx drawing,"3D graphics, CAD",
.123,PCB123 circuit board design,"3D graphics, CAD",application/vnd.lotus-1-2-3
.wkf,VISI CAD work data,"3D graphics, CAD",
.m3d,DIALux 3D furniture object,"3D graphics, CAD",
.geo,VRML geography data,"3D graphics, CAD",application/vnd.dynageo
.dwz,Compressed AutoCAD drawing,"3D graphics, CAD",
.ccz,Compressed CAMCAD PCB layout,"3D graphics, CAD",
.dsn,OrCAD schematic capture data,"3D graphics, CAD",
.3dh,3D highway base map,"3D graphics, CAD",
.ztl,ZBrush ZTool data,"3D graphics, CAD",
.iges,IGES 3D exchange format,"3D graphics, CAD",model/iges
.cad,CAD drawing,"3D graphics, CAD",
.drg,AllyCAD CAD design drawing,"3D graphics, CAD",
.std,STAAD.Pro import/export file for steel FEA,"3D graphics, CAD",application/vnd.sun.xml.draw.template
.12da,2D ASCII data,"3D graphics, CAD",
.ase,3D Studio Max ASCII scene export data,"3D graphics, CAD",
.o3d,Google Open 3D web graphic format,"3D graphics, CAD",
.ard,Alphacam router drawing,"3D graphics, CAD",
.asc,LTspice circuit schematic,"3D graphics, CAD",application/pgp-signature
.3dm,3D NURBS CAD data file,"3D graphics, CAD",
.p5d,DynaCAD parts document,"3D graphics, CAD",
.dgk,Delcam PowerMILL data,"3D graphics, CAD",
.edz,EPLAN data zipped archive,"3D graphics, CAD",
.pl1,3D Home Architect room plan,"3D graphics, CAD",
.sv$,AutoCAD autosave,"3D graphics, CAD",
.xv3,P-XVL geometry data,"3D graphics, CAD",
.x_b,Parasolid model (binary),"3D graphics, CAD",
.gds,Integrated Circuit design,"3D graphics, CAD",
.fp3,FloorPlan 3D design,"3D graphics, CAD",
.v3d,ViaCAD 3D drawing,"3D graphics, CAD",
.cwz,Circuit Wizard circuit design,"3D graphics, CAD",
.art,ArtCAM Pro model data,"3D graphics, CAD",
.axp,AnvilCad CAD model,"3D graphics, CAD",
.pra,CADRA design drafting software data,"3D graphics, CAD",
.thing,MakerBot Desktop thing file,"3D graphics, CAD",
.tmb,TMX editor user data,"3D graphics, CAD",
.mhx,MakeHuman exchange format,"3D graphics, CAD",
.duf,DAZ Studio DSON user file,"3D graphics, CAD",
.ifczip,Industry Foundation Classes ZIP data,"3D graphics, CAD",
.zf3d,Flare3D model,"3D graphics, CAD",
.z3d,ZModeler 3D graphics format,"3D graphics, CAD",
.ls6,Lumion 3D model,"3D graphics, CAD",
.eoff,exocad library,"3D graphics, CAD",
.bog,Binary object geometry format,"3D graphics, CAD",
.tin,Bentley GEOPAK Environmental Modeling Systems data,"3D graphics, CAD",
.cnc,CNC machine tool path file,"3D graphics, CAD",
.x3d,X3D graphics model,"3D graphics, CAD",application/vnd.hzn-3d-crossword
.3ox,3Shape order exchange format,"3D graphics, CAD",
.phd,Punch! software CAD plan,"3D graphics, CAD",
.bdl,CoCreate Designer design bundle,"3D graphics, CAD",
.mc9,Mastercam V9 CAD document,"3D graphics, CAD",
.b3d,BodyPaint 3D format,"3D graphics, CAD",
.mcx,Mastercam X and X2 file format,"3D graphics, CAD",
.acp,Virtual Architecture CAD data,"3D graphics, CAD",
.hve,Hive Editor 3D environment,"3D graphics, CAD",
.plmxml,PLM XML UGS data,"3D graphics, CAD",
.smp,Autodesk sampled station list,"3D graphics, CAD",
.mcx-5,Mastercam X5 3D model,"3D graphics, CAD",
.mcx-9,Mastercam X9 3D model,"3D graphics, CAD",
.sep,SEE Electrical project,"3D graphics, CAD",
.cir,Supermax ECAD saved command,"3D graphics, CAD",
.vue,Autodesk 3D Studio Max animation,"3D graphics, CAD",
.mmdl,SAPPHIRE Structure model,"3D graphics, CAD",
.s3dx,Shape3D drawing,"3D graphics, CAD",
.psm,Solid Edge document format,"3D graphics, CAD",
.scad,OpenSCAD CAD model,"3D graphics, CAD",
.bvh,Biovision Hierarchy Animation Format,"3D graphics, CAD",
.dcd,DesignCAD technical drawing,"3D graphics, CAD",
.cdf,Cyberspace Description Format,"3D graphics, CAD",application/x-netcdf
.xpr,PTC Pro/ENGINEER part data,"3D graphics, CAD",application/vnd.is-xpr
.sto,PRO100 project,"3D graphics, CAD",
.co,Cobalt 3D model,"3D graphics, CAD",
.sab,3D ACIS binary data,"3D graphics, CAD",
.bin,Micrografx Designer 7 project image,"3D graphics, CAD",application/octet-stream
.m2,World of Warcraft model object file format,"3D graphics, CAD",
.sldblk,SolidWorks blocks data,"3D graphics, CAD",
.mcc,CAD drawing,"3D graphics, CAD",
.e3s,E3.series project,"3D graphics, CAD",
.ewb,Electronic Workbench (Multisim) CAD design,"3D graphics, CAD",
.dff,RenderWare model,"3D graphics, CAD",
.kss,FabTrol MRP template,"3D graphics, CAD",
.mpr,woodWOP data,"3D graphics, CAD",
.z13,EPLAN e-mail project,"3D graphics, CAD",
.pin,ArchiCAD data,"3D graphics, CAD",
.ad_prt,Alibre Design CAD drawing,"3D graphics, CAD",
.drf,3D Studio Max scene,"3D graphics, CAD",
.dxx,AutoCAD drawing interchange attribute,"3D graphics, CAD",
.pda,Autodesk pond outflow data,"3D graphics, CAD",
.iv,SGI Inventor 3D format,"3D graphics, CAD",
.dra,OrCAD PCB drawing,"3D graphics, CAD",
.h3d,Altair HyperView 3D model,"3D graphics, CAD",
.cgs,CGS General Motors CAD drawing,"3D graphics, CAD",
.e57,3D Imaging Data Exchange format,"3D graphics, CAD",
.stb,AutoCAD R2000 plot style table,"3D graphics, CAD",
.ske,Battlefield 2 skeleton data,"3D graphics, CAD",
.ipj,AutoDesk Inventor project,"3D graphics, CAD",
.part,PTC Pro/Engineer CAD part,"3D graphics, CAD",
.gcd,Generic CADD Drawing format,"3D graphics, CAD",
.catproduct,CATIA product description document,"3D graphics, CAD",
.unv,I-DEAS data,"3D graphics, CAD",
.sdexp,Creo Elements/Direct model,"3D graphics, CAD",
.gpw,AutoCAD Civil 3D Hydraflow Hydrographs Extension data,"3D graphics, CAD",
.a2l,ASAP2 ECU description file,"3D graphics, CAD",
.slddrt,SolidWorks general table template,"3D graphics, CAD",
.osgb,OpenSceneGraph binary scene data,"3D graphics, CAD",
.u3d,Universal 3D format graphics,"3D graphics, CAD",
.3dc,iGO 3D building data,"3D graphics, CAD",
.asm,Solid Edge assembly data,"3D graphics, CAD",text/x-asm
.pl2,3D Home Architect second level floor plan,"3D graphics, CAD",
.dgr,MicroStation CAD design,"3D graphics, CAD",
.atd,Alphacam lathe drawing,"3D graphics, CAD",
.a3d,Amapi 3D modeling data,"3D graphics, CAD",
.br5,Bryce version 5 scene,"3D graphics, CAD",
.3w,XYZware 3D document,"3D graphics, CAD",
.w2d,Autodesk Design (Drawing) Web Format 2D file,"3D graphics, CAD",
.spt,SpeedTree 3D tree graphics,"3D graphics, CAD",
.skba,SketchBook Pro animation data,"3D graphics, CAD",
.3dmf,Mac OS Quickdraw 3D metafile,"3D graphics, CAD",
.rpf,3ds Max Rich Pixel Format,"3D graphics, CAD",
.zsol,M & S Steel Corp. model,"3D graphics, CAD",
.min,OrCAD PCB layout,"3D graphics, CAD",
.gdo,CC430 Gerber file,"3D graphics, CAD",
.ckd,CADKEY design,"3D graphics, CAD",
.cax,VCollab 3D model,"3D graphics, CAD",
.vzm,Ventuz Director mesh data,"3D graphics, CAD",
.br4,Bryce version 4 scene,"3D graphics, CAD",
.c3d,3D biomechanics data standard,"3D graphics, CAD",
.xrl,Rapidform XOR/XOS 3D scan CAD data,"3D graphics, CAD",
.dwg,BravoDRAFT detailer data,"3D graphics, CAD",image/vnd.dwg
.psk,Unreal Engine character model mesh,"3D graphics, CAD",
.mdl,Lectra Modaris clothing design,"3D graphics, CAD",
.dr4,AllyCAD drawing,"3D graphics, CAD",
.rh,Right Hemisphere 3D drawing,"3D graphics, CAD",
.dem,Digital Elevation Model map,"3D graphics, CAD",
.$ac,Autodesk AutoCAD autosave,"3D graphics, CAD",
.csm,3ds Max Character Studio Maker,"3D graphics, CAD",
.prjpcb,Altium Designer project,"3D graphics, CAD",
.dwt,AutoCAD template,"3D graphics, CAD",
.anl,Alphacam nest list,"3D graphics, CAD",
.3dc,Canvas 3D model,"3D graphics, CAD",
.lwo,LightWave 3D object,"3D graphics, CAD",
.scene,VCollab scene,"3D graphics, CAD",
.ktr,KeyTruss truss data,"3D graphics, CAD",application/vnd.kahootz
.ndw,Allplan CAD/BIM file,"3D graphics, CAD",
.rs8,ProSource data,"3D graphics, CAD",
.lyc,bestIMAGE compressed drawing,"3D graphics, CAD",
.v3v,Vector Art 3D model,"3D graphics, CAD",
.apt,Alphacam punch tool data,"3D graphics, CAD",
.drwdot,SolidWorks drawing template,"3D graphics, CAD",
.brd,Cadence PCB design,"3D graphics, CAD",
.wrp,Geomagic 3D wrap,"3D graphics, CAD",
.ive,OpenSceneGraph model,"3D graphics, CAD",
.p2d,PointLineCAD 2D drawing,"3D graphics, CAD",
.dzp,DirectorZone particle effect,"3D graphics, CAD",
.ckt,B2 Spice circuit design,"3D graphics, CAD",
.bro,Tree Professional Broadleaf vegetation 3D model,"3D graphics, CAD",
.pxp,3D Studio Max process data,"3D graphics, CAD",
.n2km,Headshape Modding 3D Tool for 3D Studio Max modding data,"3D graphics, CAD",
.adsk,Autodesk data exchange file,"3D graphics, CAD",
.vrimg,Chaos Software V-Ray picture image,"3D graphics, CAD",
.sh3f,Sweet Home 3D model library,"3D graphics, CAD",
.ds4,Micrografx Designer graphics data,"3D graphics, CAD",
.pob,Punch! CAD 3D graphics data,"3D graphics, CAD",
.vnc,GibbsCAM CAD/CAM data,"3D graphics, CAD",
.max,OrCAD layout,"3D graphics, CAD",
.rft,Revit Architecture template,"3D graphics, CAD",
.ms12,NI Multisim12 circuit design,"3D graphics, CAD",
.3dl,LightConverse 3D model,"3D graphics, CAD",
.makerbot,MakerBot print data,"3D graphics, CAD",
.vrml,Virtual Reality Modeling Language 3D model,"3D graphics, CAD",model/vrml
.gha,Grasshopper assembly data,"3D graphics, CAD",
.tcd,TurboCAD Mac Deluxe CAD drawing,"3D graphics, CAD",
.gtl,Gerber top layer file,"3D graphics, CAD",
.rds,Ray Dream 3D animation,"3D graphics, CAD",
.ac$,AutoCAD undo info data,"3D graphics, CAD",
.254,Pro/Engineer versioned data,"3D graphics, CAD",
.rib,Renderman Interface Bytestream 3D graphics data,"3D graphics, CAD",
.assbin,Substance Painter scene,"3D graphics, CAD",
.af,3DPlus model,"3D graphics, CAD",
.rte,Autodesk Revit Architecture template,"3D graphics, CAD",
.lox,Therion 3D model,"3D graphics, CAD",
.gtm,ANSYS CFX mesh,"3D graphics, CAD",application/vnd.groove-tool-message
.xmt_txt,Parasolid CAD format,"3D graphics, CAD",
.amb,Alphacam 3D Mill or 2D Mill VB macro,"3D graphics, CAD",
.2d,VersaCAD 2D CAD drawing,"3D graphics, CAD",
.fpf,IKEA Home planner file,"3D graphics, CAD",
.vrscene,VRay scene data,"3D graphics, CAD",
.drw,ProE / Creo Parametric 2D CAD data,"3D graphics, CAD",
.dxe,AutoCAD data extraction template,"3D graphics, CAD",
.shp,AutoCAD shape file or source file for text fonts,"3D graphics, CAD",
.brc,Bryce version 2 scene,"3D graphics, CAD",
.nff,Haines Neutral File Format,"3D graphics, CAD",
.gbx,Gerber data,"3D graphics, CAD",
.cae,Abaqus CAE model,"3D graphics, CAD",
.vdcl,VectorDraw drawing (compressed),"3D graphics, CAD",
.gltf,GL Transmission Format,"3D graphics, CAD",
.vda,CAD VDA-FS data exchange format,"3D graphics, CAD",
.szn,HiCAD 3D CAD drawing,"3D graphics, CAD",
.gtc,Graitec Exchange Format,"3D graphics, CAD",
.amf,Additive Manufacturing Format,"3D graphics, CAD",
.gmt,rFactor model,"3D graphics, CAD",
.flx,FLIC animation file,"3D graphics, CAD",text/vnd.fmi.flexstor
.vwf,CADvance drawing,"3D graphics, CAD",
.alp,Alphacam laser post data,"3D graphics, CAD",
.slb,Autodesk AutoCAD slide library,"3D graphics, CAD",
.off,DEC 3D Object File Format,"3D graphics, CAD",
.lfx,Land F/X project,"3D graphics, CAD",
.amd,"Alphacam 3D Mill, 2D Mill drawing","3D graphics, CAD",
.sml,Simile model,"3D graphics, CAD",
.c2,Pov-Ray for Windows 3.x scenes advanced newltpot data,"3D graphics, CAD",
.obg,ZBrush mesh data,"3D graphics, CAD",
.pol,InnovMetric Software 3D polygon models format,"3D graphics, CAD",
.catalog,CATIA catalog,"3D graphics, CAD",
.sza,HiCAD neXt construction drawing,"3D graphics, CAD",
.skd,Autodesk Autosketch drawing database,"3D graphics, CAD",application/vnd.koan
.tso,NX2 file 3D faceted spacial volume data,"3D graphics, CAD",
.edf,Edificius project,"3D graphics, CAD",
.asmdot,SolidWorks assembly template,"3D graphics, CAD",
.rvz,AVEVA Review 3D model,"3D graphics, CAD",
.trl,Topocad roadline data,"3D graphics, CAD",
.pz2,Poser pose data,"3D graphics, CAD",
.hipnc,Houdini apprentice file,"3D graphics, CAD",
._pd,CADDS data,"3D graphics, CAD",
.mcx-7,Mastercam X7 3D model,"3D graphics, CAD",
.arp,Alphacam router post data,"3D graphics, CAD",
.smlx,Steel Markup Language document,"3D graphics, CAD",
.pp2,Poser prop data,"3D graphics, CAD",
.sos,Dynamite VSP swept object style,"3D graphics, CAD",
.hpx,MetaVR 3D model,"3D graphics, CAD",
.mf1,I-DEAS model,"3D graphics, CAD",
.ms13,NI Multisim circuit design,"3D graphics, CAD",
.edw,SolidWorks eDrawing data,"3D graphics, CAD",
.3dmap,CATIA 3dmap data,"3D graphics, CAD",
.lcf,ArchiCAD library container,"3D graphics, CAD",
.mcx-6,Mastercam X6 3D model,"3D graphics, CAD",
.agz,AggFlow aggregate plant flow diagram,"3D graphics, CAD",
.pdms,Plant Design Management System file,"3D graphics, CAD",
.sldlfp,SolidWorks library part,"3D graphics, CAD",
.xsh,Xshade data,"3D graphics, CAD",
.rms,RiverCAD modeling system data,"3D graphics, CAD",application/vnd.jcp.javame.midlet-rms
.mb4,Model Builder model design file,"3D graphics, CAD",
.add,Alphacam CAD/CAM die-cut drawing,"3D graphics, CAD",
.agl,ArgusLab molecular graphics modelling data,"3D graphics, CAD",
.3ko,NGRAIN 3D format,"3D graphics, CAD",
.hd2,Poser hand pose data,"3D graphics, CAD",
.gdd,Gerber drill drawing data,"3D graphics, CAD",
.ls,Lightscape solution,"3D graphics, CAD",
.kom,Kit-O-Mat 3D model,"3D graphics, CAD",
.see,LISCAD Plus CAD design,"3D graphics, CAD",application/vnd.seemail
.obc,AICON 3D Scanner photogrammetry data,"3D graphics, CAD",
.imotion,iClone motion capture file,"3D graphics, CAD",
.3de,DeskArtes 3D file,"3D graphics, CAD",
.hdz,Poser compressed hand pose data,"3D graphics, CAD",
.bs,Ball and Stick chemical modeller,"3D graphics, CAD",
.g3d,GOM ATOS 3D scan file,"3D graphics, CAD",
.2cd,DoubleCAD CAD data,"3D graphics, CAD",
.ldm,VolumeViz multi-resolution volume image,"3D graphics, CAD",
.xfr,Xfrog vegetation graphics,"3D graphics, CAD",
.ghx,Grasshopper data,"3D graphics, CAD",
.gpb,Gerber bottom pad master data,"3D graphics, CAD",
.o2c,Objects to See 3D file format,"3D graphics, CAD",
.ppz,Poser compressed prop file,"3D graphics, CAD",
.lin,AutoCAD linetype definition,"3D graphics, CAD",
.lp,Lightscape 3D object,"3D graphics, CAD",
.yak,KayakFoundry 3D design,"3D graphics, CAD",
.tsb,3dMD or 3Q Viewer 3D image,"3D graphics, CAD",
.catanalysis,CATIA analysis data,"3D graphics, CAD",
.lhzd,Live Home 3D project,"3D graphics, CAD",
.ls4,Lumion exported full scene,"3D graphics, CAD",
.hff,L3DT heightfield data,"3D graphics, CAD",
.mcx-8,Mastercam X8 3D model,"3D graphics, CAD",
.lxo,Luxology modo 302 3D drawing,"3D graphics, CAD",
.anf,ANSYS DesignModeler data,"3D graphics, CAD",
.fabbproject,netfabb Basic project,"3D graphics, CAD",
.e3d,Macromedia Extreme 3D object,"3D graphics, CAD",
.aed,Alphacam wire EDM drawing,"3D graphics, CAD",
.get,Pov-Ray 3D graphics,"3D graphics, CAD",
.pro,General project file,"3D graphics, CAD",
.xgl,XGL 3D CAD model,"3D graphics, CAD",
.3dmk,123D project,"3D graphics, CAD",
.wds,WohnungsPlan 3D project,"3D graphics, CAD",
.ms11,NI Multisim v11 circuit design,"3D graphics, CAD",
.ics,IronCAD 3D CAD data,"3D graphics, CAD",text/calendar
.dwk,Autodesk AutoCAD locked DWG drawing,"3D graphics, CAD",
.xfa,OneCncXR CAD data,"3D graphics, CAD",
.vcd,VisualCADD drawing,"3D graphics, CAD",application/x-cdlink
.lad,Daylon Leveller animation data,"3D graphics, CAD",
.xvl,eXtensible virtual world description language file,"3D graphics, CAD",
.rxl,Seetrax Ranger CAD drawing,"3D graphics, CAD",
.scprt,Surfcam 3D format,"3D graphics, CAD",
.ig2,IGES CAD data,"3D graphics, CAD",
.aef,ELECTRICAL Designer related data,"3D graphics, CAD",
.prw,Artlantis shader preview,"3D graphics, CAD",
.asb,Alphacam stone VB macro,"3D graphics, CAD",
.bmx,Alpha Five image library,"3D graphics, CAD",
.hxn,Hexagon 3D model,"3D graphics, CAD",
.adj,LISCAD adjustment data,"3D graphics, CAD",
.ang,AIMSUN NG related data,"3D graphics, CAD",
.mc3,Bridge Design Modeler 3D match-casting geometry control,"3D graphics, CAD",
.ccd,Vector CAD program,"3D graphics, CAD",
.lob,Orgadata LogiKal object,"3D graphics, CAD",
.epx,Piranesi 3D model,"3D graphics, CAD",
.prtprp,SolidWorks part custom properties tab template,"3D graphics, CAD",
.min,Okuma CNC program,"3D graphics, CAD",
.rhm,Right Hemisphere material data,"3D graphics, CAD",
.cdd,CADAM drawing,"3D graphics, CAD",
.sgo,SansGUI object library,"3D graphics, CAD",
.brd,KiCad PCB design,"3D graphics, CAD",
.atlo,Artlantis object,"3D graphics, CAD",
.bld,3D Home Architect project,"3D graphics, CAD",
.brp,Tree Professional Broadleaf Creator image,"3D graphics, CAD",
.3dv,3D VRML world data,"3D graphics, CAD",
.mvi,Autodesk AutoCAD movie command,"3D graphics, CAD",
.aec,DataCAD drawing,"3D graphics, CAD",
.spf,StruCAD 3D model,"3D graphics, CAD",application/vnd.yamaha.smaf-phrase
.3ws,CityEngine web scene,"3D graphics, CAD",
.obk,OrCAD capture design or library,"3D graphics, CAD",
.3b,3D-Coat project,"3D graphics, CAD",
.g2,Gerber inner routing layer 2,"3D graphics, CAD",
.acp,ArCon project,"3D graphics, CAD",
.ald,Alphacam laser CAD drawing,"3D graphics, CAD",
.fis,Dynamite VSP feature interpretation style,"3D graphics, CAD",
.vta,Valve face flex,"3D graphics, CAD",
.glb,GL Transmission Format binary form,"3D graphics, CAD",
.3df,QuickDraw 3D data,"3D graphics, CAD",
.zgl,Compressed XGL 3D CAD model,"3D graphics, CAD",
.inp,Autodesk adjustment factors,"3D graphics, CAD",
.g1,Gerber inner routing layer 1,"3D graphics, CAD",
.dwm,Digital Works circuit project,"3D graphics, CAD",
.brt,Booria Carpet Designer robotuft project,"3D graphics, CAD",
.lvw,Livewire document,"3D graphics, CAD",
.ipd,Impact CAD drawing,"3D graphics, CAD",
.case,EnSight results data,"3D graphics, CAD",
.rep,Gerber (PCB) file,"3D graphics, CAD",application/vnd.businessobjects
.pmm,MikuMikuDance PolygonMovieMaker data,"3D graphics, CAD",
.hrc,Autodesk Softimage 3D model,"3D graphics, CAD",
.xsp,Autodesk existing ground section data pointer,"3D graphics, CAD",
.lay,Printed Circuit Design layout,"3D graphics, CAD",
.igb,Google Earth model,"3D graphics, CAD",
.cde,CADKEY dynamic extension file format,"3D graphics, CAD",
.x,Microsoft Direct-X SDK 3D graphics,"3D graphics, CAD",
.sldtbt,SolidWorks general table template,"3D graphics, CAD",
.jww,Jw_cad cad document,"3D graphics, CAD",
.vdml,VectorDraw drawing data,"3D graphics, CAD",
.lws,LightWave scene,"3D graphics, CAD",
.ewd,EasyWOOD file,"3D graphics, CAD",
.circuit,KTechlab circuit design,"3D graphics, CAD",
.rtex,Rhino 3D texture,"3D graphics, CAD",
.mkd,CAD6 drawing,"3D graphics, CAD",
.dws,AutoCAD standardization data,"3D graphics, CAD",
.gpt,Gerber top pad master data,"3D graphics, CAD",
.rzp,Razen PCB design,"3D graphics, CAD",
.cni,CWBench file,"3D graphics, CAD",
.fact,EIAS ElectricImage 3D data,"3D graphics, CAD",
.bbcd,BobCAD-CAM drawing,"3D graphics, CAD",
.kgm,KeyTERRA-FIRMA ground model,"3D graphics, CAD",
.pne,ArchiCAD 9 Education BIM data,"3D graphics, CAD",
.exp,Drawing Express CAD drawing,"3D graphics, CAD",
.nci,Mastercam toolpath data,"3D graphics, CAD",
.amt,"Alphacam 3D Mill, 2D Mill tool","3D graphics, CAD",
.xas,PTC Pro/Engineer assembly data,"3D graphics, CAD",
.c1,Pov-Ray for Windows 3.x scenes advanced newltpot file,"3D graphics, CAD",
.spr,Quake 3D engine sprite,"3D graphics, CAD",
.vnscene,EdgeFX scene,"3D graphics, CAD",
.gbo,Gerber bottom overlay (silk screen) file,"3D graphics, CAD",
.mqo,Metasequoia 3D object,"3D graphics, CAD",
.hdi,Autodesk AutoCAD heidi device interface,"3D graphics, CAD",
.nc,Geopath machine part,"3D graphics, CAD",application/x-netcdf
.CATfct,CATIA CATfct data,"3D graphics, CAD",
.re2,NEK5000 mesh file,"3D graphics, CAD",
.raa,Maya Exporter RiTE ASCII animation,"3D graphics, CAD",
.drwprp,SolidWorks drawing custom properties tab template,"3D graphics, CAD",
.c3xml,Chem3D XML format,"3D graphics, CAD",
.cel,MicroStation cell library,"3D graphics, CAD",
.lnd,3D Landscape data,"3D graphics, CAD",
.catmaterial,CATIA CATMaterial data,"3D graphics, CAD",
.tcp,TurboCAD for Mac drawing,"3D graphics, CAD",
.m01,MicroStation modification resource data,"3D graphics, CAD",
.hcp,HydroCAD project,"3D graphics, CAD",
.idf,Autodesk intensity duration frequency factors data file,"3D graphics, CAD",
.sldwldtbt,SolidWorks Weldment Cutlist template file,"3D graphics, CAD",
.3dp,Autodesk 123D photo scene,"3D graphics, CAD",
.woff2,Web Open Font Format 2.0 package,Font,font/woff2
.pkt,TeX font,Font,
.ttf,TrueType font,Font,application/x-font-ttf
.eot,Embedded OpenType font,Font,application/vnd.ms-fontobject
.woff,Web Open Font Format package,Font,font/woff
.pk,LaTeX compressed font,Font,
.fnt,Font,Font,
.otf,OpenType font file format,Font,font/otf
.chr,Borland language stroke font,Font,
.bmap,Apple Macintosh screen font,Font,
.ofm,Adobe PostScript font description data,Font,
.frf,FontMonger intermediate font,Font,
.suit,Apple Mac OS font suitcase,Font,
.pfb,Type 1 PostScript font,Font,application/x-font-type1
.glyphs,Glyphs character data,Font,
.afs,Adobe Type Manager font set,Font,
.91,Ventura Publisher 91x91 dpi display font,Font,
.ttc,TrueType Font collection,Font,application/x-font-ttf
.afm,Adobe font metrics,Font,application/x-font-type1
.vfont,Valve Source font,Font,
.apf,Lotus printer driver fonts,Font,
