Description,Extension,Category,MIME type,,,,,
VivoActive video,.viv,Video,video/vnd.vivo,,,,,
Adobe Captivate RoboDemo template,.rdt,Video,application/octet-stream,,,,,
Sega FILM/CPK file format,.cpk,Video,application/octet-stream,,,,,
Vegas Movie Studio project,.vf,Video,application/octet-stream,,,,,
Generic video,.vid,Video,video/x-sgi-movie,,,,,
Video Server E captured video,.vse,Video,application/octet-stream,,,,,
Hard disk camera movie MPEG-2 program stream,.mod,Video,video/mpeg,,,,,
ETI (Ensemble Transport Interface) stream,.eti,Video,application/octet-stream,,,,,
MPEG-4 video file format,.m4v,Video,video/x-m4v,,,,,
Advanced Systems (streaming) format,.asf,Video,video/x-ms-asf,,,,,
Material Exchange Format video,.mxf,Video,application/mxf,,,,,
MPEG-2 stream file format,.m2p,Video,video/mp2p,,,,,
Nero Video project,.nvc,Video,application/octet-stream,,,,,
VGuard proprietary H.264 CODEC video,.vgz,Video,application/octet-stream,,,,,
Pinnacle Studio video project,.stu,Video,application/octet-stream,,,,,
MPEG-2 transport stream,.m2t,Video,video/mp2t,,,,,
Vision Research Phantom Cine camera recording,.cine,Video,video/x-cineon,,,,,
MPEG-2 video,.tts,Video,video/vnd.dlna.mpeg-tts,,,,,
DriveCam video recording,.dce,Video,application/octet-stream,,,,,
Pinnacle Studio project,.stx,Video,application/octet-stream,,,,,
Source Filmmaker video session,.dmx,Video,application/octet-stream,,,,,
HighMAT data,.hmt,Video,application/octet-stream,,,,,
Motion JPEG video,.mjpeg,Video,video/x-motion-jpeg,,,,,
Microsoft Advanced Streaming Redirector,.asx,Video,video/x-ms-asf,,,,,
VirtuaGirl HD model demo,.demo,Video,application/octet-stream,,,,,
HD DVD video,.evo,Video,video/x-evo,,,,,
Timespace Technology video,.xba,Video,application/octet-stream,,,,,
Pinnacle Studio DV video editing project,.sdv,Video,application/octet-stream,,,,,
Ogg Vorbis video,.ogv,Video,video/ogg,,,,,
VP3 encoded video,.vp3,Video,video/x-vp3,,,,,
H.264 MICRO DVR camera movie,.sdr2,Video,application/octet-stream,,,,,
Sony AVCHD index,.moff,Video,application/octet-stream,,,,,
Final Cut Pro X project,.fcpxml,Video,application/fcpxml+xml,,,,,
Macromedia (Adobe) Director Shockwave cast data,.cct,Video,application/x-director,,,,,
OXE CCTV video recording,.avh,Video,application/octet-stream,,,,,
Optris recorded video,.ravi,Video,video/x-ravi,,,,,
AVTECH video data,.vs4,Video,application/octet-stream,,,,,
Blu-ray stereoscopic interleaved movie,.ssif,Video,video/ssif,,,,,
Green Screen project,.doink-gs,Video,application/octet-stream,,,,,
DISH Network DVR recorded video,.tsp,Video,video/mp2t,,,,,
EZTV tv show video,.eztv,Video,application/octet-stream,,,,,
VOB 5 DVD video,.vfo,Video,application/octet-stream,,,,,
AMV video file format,.amv,Video,video/x-amv,,,,,
LG MJPEG video format,.mjp,Video,video/mjpeg,,,,,
Panasonic P2 video,.p2,Video,application/octet-stream,,,,,
Video information file,.avf,Video,application/octet-stream,,,,,
MPEG-2 transport stream,.mts1,Video,video/mp2t,,,,,
MPEG-2 TV recorded video,.tp,Video,video/mp2t,,,,,
MPEG movie,.mpeg,Video,video/mpeg,,,,,
Indeo video recording,.ivf,Video,video/x-ivf,,,,,
Video recordable format,.vro,Video,video/x-dvd-vro,,,,,
ScreenRec recording,.screenrec,Video,application/octet-stream,,,,,
Active WebCam live capture video,.awlive,Video,application/octet-stream,,,,,
Digital Court Recorder video,.dcr,Video,image/x-kodak-dcr,,,,,
Smooth Streaming MPEG-4 multimedia fragment,.ismv,Video,video/ismv,,,,,
AutoCAD film roll data,.flm,Video,application/octet-stream,,,,,
3GP video data,.3gp_128x96,Video,video/3gpp,,,,,
SONY PlayStation movie stream file,.str,Video,application/vnd.pg.format,,,,,
3GPP2 multimedia data,.3g2,Video,video/3gpp2,,,,,
SWiSH data,.swi,Video,application/vnd.arastra.swi,,,,,
RealMedia variable bitrate,.rmvb,Video,application/vnd.rn-realmedia-vbr,,,,,
Video Recorder video data,.hav,Video,application/octet-stream,,,,,
Hard disk camera movie MPEG-2 transport stream,.tod,Video,video/mpeg,,,,,
Motion JPEG Video,.mjpg,Video,video/x-motion-jpeg,,,,,
