Description,Extension,Category,MIME type,,,,,
2D ASCII data,.12da,"3D graphics, CAD",Unknown,,,,,
3D Studio Max ASCII scene export data,.ase,"3D graphics, CAD",Unknown,,,,,
Google Open 3D web graphic format,.o3d,"3D graphics, CAD",Unknown,,,,,
Alphacam router drawing,.ard,"3D graphics, CAD",Unknown,,,,,
3D NURBS CAD data file,.3dm,"3D graphics, CAD",Unknown,,,,,
DynaCAD parts document,.p5d,"3D graphics, CAD",Unknown,,,,,
Delcam PowerMILL data,.dgk,"3D graphics, CAD",Unknown,,,,,
EPLAN data zipped archive,.edz,"3D graphics, CAD",Unknown,,,,,
3D Home Architect room plan,.pl1,"3D graphics, CAD",Unknown,,,,,
AutoCAD autosave,.sv$,"3D graphics, CAD",Unknown,,,,,
P-XVL geometry data,.xv3,"3D graphics, CAD",Unknown,,,,,
Parasolid model (binary),.x_b,"3D graphics, CAD",Unknown,,,,,
Integrated Circuit design,.gds,"3D graphics, CAD",Unknown,,,,,
FloorPlan 3D design,.fp3,"3D graphics, CAD",Unknown,,,,,
ViaCAD 3D drawing,.v3d,"3D graphics, CAD",Unknown,,,,,
Circuit Wizard circuit design,.cwz,"3D graphics, CAD",Unknown,,,,,
ArtCAM Pro model data,.art,"3D graphics, CAD",Unknown,,,,,
AnvilCad CAD model,.axp,"3D graphics, CAD",Unknown,,,,,
CADRA design drafting software data,.pra,"3D graphics, CAD",Unknown,,,,,
MakerBot Desktop thing file,.thing,"3D graphics, CAD",Unknown,,,,,
TMX editor user data,.tmb,"3D graphics, CAD",Unknown,,,,,
MakeHuman exchange format,.mhx,"3D graphics, CAD",Unknown,,,,,
DAZ Studio DSON user file,.duf,"3D graphics, CAD",Unknown,,,,,
Industry Foundation Classes ZIP data,.ifczip,"3D graphics, CAD",Unknown,,,,,
Flare3D model,.zf3d,"3D graphics, CAD",Unknown,,,,,
ZModeler 3D graphics format,.z3d,"3D graphics, CAD",Unknown,,,,,
Lumion 3D model,.ls6,"3D graphics, CAD",Unknown,,,,,
exocad library,.eoff,"3D graphics, CAD",Unknown,,,,,
Binary object geometry format,.bog,"3D graphics, CAD",Unknown,,,,,
Bentley GEOPAK Environmental Modeling Systems data,.tin,"3D graphics, CAD",Unknown,,,,,
CNC machine tool path file,.cnc,"3D graphics, CAD",application/vnd.hzn-3d-crossword,,,,,
X3D graphics model,.x3d,"3D graphics, CAD",Unknown,,,,,
3Shape order exchange format,.3ox,"3D graphics, CAD",Unknown,,,,,
Punch! software CAD plan,.phd,"3D graphics, CAD",Unknown,,,,,
CoCreate Designer design bundle,.bdl,"3D graphics, CAD",Unknown,,,,,
Mastercam V9 CAD document,.mc9,"3D graphics, CAD",Unknown,,,,,
BodyPaint 3D format,.b3d,"3D graphics, CAD",Unknown,,,,,
Mastercam X and X2 file format,.mcx,"3D graphics, CAD",Unknown,,,,,
Virtual Architecture CAD data,.acp,"3D graphics, CAD",Unknown,,,,,
Hive Editor 3D environment,.hve,"3D graphics, CAD",Unknown,,,,,
PLM XML UGS data,.plmxml,"3D graphics, CAD",Unknown,,,,,
Autodesk sampled station list,.smp,"3D graphics, CAD",Unknown,,,,,
Mastercam X5 3D model,.mcx-5,"3D graphics, CAD",Unknown,,,,,
Mastercam X9 3D model,.mcx-9,"3D graphics, CAD",Unknown,,,,,
SEE Electrical project,.sep,"3D graphics, CAD",Unknown,,,,,
Supermax ECAD saved command,.cir,"3D graphics, CAD",Unknown,,,,,
Autodesk 3D Studio Max animation,.vue,"3D graphics, CAD",Unknown,,,,,
SAPPHIRE Structure model,.mmdl,"3D graphics, CAD",Unknown,,,,,
Shape3D drawing,.s3dx,"3D graphics, CAD",Unknown,,,,,
Solid Edge document format,.psm,"3D graphics, CAD",Unknown,,,,,
OpenSCAD CAD model,.scad,"3D graphics, CAD",Unknown,,,,,
Biovision Hierarchy Animation Format,.bvh,"3D graphics, CAD",Unknown,,,,,
DesignCAD technical drawing,.dcd,"3D graphics, CAD",application/x-netcdf,,,,,
Cyberspace Description Format,.cdf,"3D graphics, CAD",application/vnd.is-xpr,,,,,
PTC Pro/ENGINEER part data,.xpr,"3D graphics, CAD",Unknown,,,,,
PRO100 project,.sto,"3D graphics, CAD",Unknown,,,,,
Cobalt 3D model,.co,"3D graphics, CAD",Unknown,,,,,
3D ACIS binary data,.sab,"3D graphics, CAD",application/octet-stream,,,,,
Micrografx Designer 7 project image,.bin,"3D graphics, CAD",Unknown,,,,,
World of Warcraft model object file format,.m2,"3D graphics, CAD",Unknown,,,,,
SolidWorks blocks data,.sldblk,"3D graphics, CAD",Unknown,,,,,
CAD drawing,.mcc,"3D graphics, CAD",Unknown,,,,,
E3.series project,.e3s,"3D graphics, CAD",Unknown,,,,,
Electronic Workbench (Multisim) CAD design,.ewb,"3D graphics, CAD",Unknown,,,,,
RenderWare model,.dff,"3D graphics, CAD",Unknown,,,,,
FabTrol MRP template,.kss,"3D graphics, CAD",Unknown,,,,,
woodWOP data,.mpr,"3D graphics, CAD",Unknown,,,,,
EPLAN e-mail project,.z13,"3D graphics, CAD",Unknown,,,,,
ArchiCAD data,.pin,"3D graphics, CAD",Unknown,,,,,
Alibre Design CAD drawing,.ad_prt,"3D graphics, CAD",Unknown,,,,,
3D Studio Max scene,.drf,"3D graphics, CAD",Unknown,,,,,
AutoCAD drawing interchange attribute,.dxx,"3D graphics, CAD",Unknown,,,,,
Autodesk pond outflow data,.pda,"3D graphics, CAD",Unknown,,,,,
SGI Inventor 3D format,.iv,"3D graphics, CAD",Unknown,,,,,
OrCAD PCB drawing,.dra,"3D graphics, CAD",Unknown,,,,,
Altair HyperView 3D model,.h3d,"3D graphics, CAD",Unknown,,,,,
CGS General Motors CAD drawing,.cgs,"3D graphics, CAD",Unknown,,,,,
3D Imaging Data Exchange format,.e57,"3D graphics, CAD",Unknown,,,,,
AutoCAD R2000 plot style table,.stb,"3D graphics, CAD",Unknown,,,,,
Battlefield 2 skeleton data,.ske,"3D graphics, CAD",Unknown,,,,,
AutoDesk Inventor project,.ipj,"3D graphics, CAD",Unknown,,,,,
PTC Pro/Engineer CAD part,.part,"3D graphics, CAD",Unknown,,,,,
Generic CADD Drawing format,.gcd,"3D graphics, CAD",Unknown,,,,,
CATIA product description document,.catproduct,"3D graphics, CAD",Unknown,,,,,
I-DEAS data,.unv,"3D graphics, CAD",Unknown,,,,,
Creo Elements/Direct model,.sdexp,"3D graphics, CAD",Unknown,,,,,
AutoCAD Civil 3D Hydraflow Hydrographs Extension data,.gpw,"3D graphics, CAD",Unknown,,,,,
ASAP2 ECU description file,.a2l,"3D graphics, CAD",Unknown,,,,,
SolidWorks general table template,.slddrt,"3D graphics, CAD",Unknown,,,,,
OpenSceneGraph binary scene data,.osgb,"3D graphics, CAD",Unknown,,,,,
Universal 3D format graphics,.u3d,"3D graphics, CAD",Unknown,,,,,
iGO 3D building data,.3dc,"3D graphics, CAD",text/x-asm,,,,,
Solid Edge assembly data,.asm,"3D graphics, CAD",Unknown,,,,,
3D Home Architect second level floor plan,.pl2,"3D graphics, CAD",Unknown,,,,,
MicroStation CAD design,.dgr,"3D graphics, CAD",Unknown,,,,,
Alphacam lathe drawing,.atd,"3D graphics, CAD",Unknown,,,,,
Amapi 3D modeling data,.a3d,"3D graphics, CAD",Unknown,,,,,
Bryce version 5 scene,.br5,"3D graphics, CAD",Unknown,,,,,
XYZware 3D document,.3w,"3D graphics, CAD",Unknown,,,,,
Autodesk Design (Drawing) Web Format 2D file,.w2d,"3D graphics, CAD",Unknown,,,,,
SpeedTree 3D tree graphics,.spt,"3D graphics, CAD",Unknown,,,,,
SketchBook Pro animation data,.skba,"3D graphics, CAD",Unknown,,,,,
Mac OS Quickdraw 3D metafile,.3dmf,"3D graphics, CAD",Unknown,,,,,
M & S Steel Corp. model,.zsol,"3D graphics, CAD",Unknown,,,,,
OrCAD PCB layout,.min,"3D graphics, CAD",Unknown,,,,,
CC430 Gerber file,.gdo,"3D graphics, CAD",Unknown,,,,,
CADKEY design,.ckd,"3D graphics, CAD",Unknown,,,,,
VCollab 3D model,.cax,"3D graphics, CAD",Unknown,,,,,
Ventuz Director mesh data,.vzm,"3D graphics, CAD",Unknown,,,,,
Bryce version 4 scene,.br4,"3D graphics, CAD",Unknown,,,,,
3D biomechanics data standard,.c3d,"3D graphics, CAD",Unknown,,,,,
Rapidform XOR/XOS 3D scan CAD data,.xrl,"3D graphics, CAD",Unknown,,,,,
Unreal Engine character model mesh,.psk,"3D graphics, CAD",Unknown,,,,,
AllyCAD drawing,.dr4,"3D graphics, CAD",Unknown,,,,,
Right Hemisphere 3D drawing,.rh,"3D graphics, CAD",Unknown,,,,,
Digital Elevation Model map,.dem,"3D graphics, CAD",Unknown,,,,,
Autodesk AutoCAD autosave,.$ac,"3D graphics, CAD",Unknown,,,,,
3ds Max Character Studio Maker,.csm,"3D graphics, CAD",Unknown,,,,,
Altium Designer project,.prjpcb,"3D graphics, CAD",Unknown,,,,,
AutoCAD template,.dwt,"3D graphics, CAD",Unknown,,,,,
Alphacam nest list,.anl,"3D graphics, CAD",Unknown,,,,,
LightWave 3D object,.lwo,"3D graphics, CAD",Unknown,,,,,
VCollab scene,.scene,"3D graphics, CAD",application/vnd.kahootz,,,,,
KeyTruss truss data,.ktr,"3D graphics, CAD",Unknown,,,,,
Allplan CAD/BIM file,.ndw,"3D graphics, CAD",Unknown,,,,,
ProSource data,.rs8,"3D graphics, CAD",Unknown,,,,,
bestIMAGE compressed drawing,.lyc,"3D graphics, CAD",Unknown,,,,,
Vector Art 3D model,.v3v,"3D graphics, CAD",Unknown,,,,,
Alphacam punch tool data,.apt,"3D graphics, CAD",Unknown,,,,,
SolidWorks drawing template,.drwdot,"3D graphics, CAD",Unknown,,,,,
Geomagic 3D wrap,.wrp,"3D graphics, CAD",Unknown,,,,,
OpenSceneGraph model,.ive,"3D graphics, CAD",Unknown,,,,,
PointLineCAD 2D drawing,.p2d,"3D graphics, CAD",Unknown,,,,,
DirectorZone particle effect,.dzp,"3D graphics, CAD",Unknown,,,,,
B2 Spice circuit design,.ckt,"3D graphics, CAD",Unknown,,,,,
Tree Professional Broadleaf vegetation 3D model,.bro,"3D graphics, CAD",Unknown,,,,,
3D Studio Max process data,.pxp,"3D graphics, CAD",Unknown,,,,,
Headshape Modding 3D Tool for 3D Studio Max modding data,.n2km,"3D graphics, CAD",Unknown,,,,,
Autodesk data exchange file,.adsk,"3D graphics, CAD",Unknown,,,,,
Chaos Software V-Ray picture image,.vrimg,"3D graphics, CAD",Unknown,,,,,
Sweet Home 3D model library,.sh3f,"3D graphics, CAD",Unknown,,,,,
Micrografx Designer graphics data,.ds4,"3D graphics, CAD",Unknown,,,,,
Punch! CAD 3D graphics data,.pob,"3D graphics, CAD",Unknown,,,,,
GibbsCAM CAD/CAM data,.vnc,"3D graphics, CAD",Unknown,,,,,
Revit Architecture template,.rft,"3D graphics, CAD",Unknown,,,,,
NI Multisim12 circuit design,.ms12,"3D graphics, CAD",Unknown,,,,,
LightConverse 3D model,.3dl,"3D graphics, CAD",Unknown,,,,,
MakerBot print data,.makerbot,"3D graphics, CAD",model/vrml,,,,,
Virtual Reality Modeling Language 3D model,.vrml,"3D graphics, CAD",Unknown,,,,,
Grasshopper assembly data,.gha,"3D graphics, CAD",Unknown,,,,,
TurboCAD Mac Deluxe CAD drawing,.tcd,"3D graphics, CAD",Unknown,,,,,
Gerber top layer file,.gtl,"3D graphics, CAD",Unknown,,,,,
Ray Dream 3D animation,.rds,"3D graphics, CAD",Unknown,,,,,
AutoCAD undo info data,.ac$,"3D graphics, CAD",Unknown,,,,,
Pro/Engineer versioned data,0.254,"3D graphics, CAD",Unknown,,,,,
Renderman Interface Bytestream 3D graphics data,.rib,"3D graphics, CAD",Unknown,,,,,
Substance Painter scene,.assbin,"3D graphics, CAD",Unknown,,,,,
3DPlus model,.af,"3D graphics, CAD",Unknown,,,,,
Autodesk Revit Architecture template,.rte,"3D graphics, CAD",Unknown,,,,,
Therion 3D model,.lox,"3D graphics, CAD",application/vnd.groove-tool-message,,,,,
ANSYS CFX mesh,.gtm,"3D graphics, CAD",Unknown,,,,,
Parasolid CAD format,.xmt_txt,"3D graphics, CAD",Unknown,,,,,
Alphacam 3D Mill or 2D Mill VB macro,.amb,"3D graphics, CAD",Unknown,,,,,
VersaCAD 2D CAD drawing,.2d,"3D graphics, CAD",Unknown,,,,,
IKEA Home planner file,.fpf,"3D graphics, CAD",Unknown,,,,,
VRay scene data,.vrscene,"3D graphics, CAD",Unknown,,,,,
ProE / Creo Parametric 2D CAD data,.drw,"3D graphics, CAD",Unknown,,,,,
AutoCAD data extraction template,.dxe,"3D graphics, CAD",Unknown,,,,,
AutoCAD shape file or source file for text fonts,.shp,"3D graphics, CAD",Unknown,,,,,
Bryce version 2 scene,.brc,"3D graphics, CAD",Unknown,,,,,
Haines Neutral File Format,.nff,"3D graphics, CAD",Unknown,,,,,
Gerber data,.gbx,"3D graphics, CAD",Unknown,,,,,
Abaqus CAE model,.cae,"3D graphics, CAD",Unknown,,,,,
VectorDraw drawing (compressed),.vdcl,"3D graphics, CAD",Unknown,,,,,
GL Transmission Format,.gltf,"3D graphics, CAD",Unknown,,,,,
CAD VDA-FS data exchange format,.vda,"3D graphics, CAD",Unknown,,,,,
HiCAD 3D CAD drawing,.szn,"3D graphics, CAD",Unknown,,,,,
Graitec Exchange Format,.gtc,"3D graphics, CAD",Unknown,,,,,
Additive Manufacturing Format,.amf,"3D graphics, CAD",Unknown,,,,,
rFactor model,.gmt,"3D graphics, CAD",text/vnd.fmi.flexstor,,,,,
FLIC animation file,.flx,"3D graphics, CAD",Unknown,,,,,
CADvance drawing,.vwf,"3D graphics, CAD",Unknown,,,,,
Alphacam laser post data,.alp,"3D graphics, CAD",Unknown,,,,,
Autodesk AutoCAD slide library,.slb,"3D graphics, CAD",Unknown,,,,,
DEC 3D Object File Format,.off,"3D graphics, CAD",Unknown,,,,,
Land F/X project,.lfx,"3D graphics, CAD",Unknown,,,,,
"Alphacam 3D Mill, 2D Mill drawing",.amd,"3D graphics, CAD",Unknown,,,,,
Simile model,.sml,"3D graphics, CAD",Unknown,,,,,
Pov-Ray for Windows 3.x scenes advanced newltpot data,.c2,"3D graphics, CAD",Unknown,,,,,
ZBrush mesh data,.obg,"3D graphics, CAD",Unknown,,,,,
InnovMetric Software 3D polygon models format,.pol,"3D graphics, CAD",Unknown,,,,,
CATIA catalog,.catalog,"3D graphics, CAD",Unknown,,,,,
HiCAD neXt construction drawing,.sza,"3D graphics, CAD",application/vnd.koan,,,,,
Autodesk Autosketch drawing database,.skd,"3D graphics, CAD",Unknown,,,,,
NX2 file 3D faceted spacial volume data,.tso,"3D graphics, CAD",Unknown,,,,,
Edificius project,.edf,"3D graphics, CAD",Unknown,,,,,
SolidWorks assembly template,.asmdot,"3D graphics, CAD",Unknown,,,,,
AVEVA Review 3D model,.rvz,"3D graphics, CAD",Unknown,,,,,
Topocad roadline data,.trl,"3D graphics, CAD",Unknown,,,,,
Poser pose data,.pz2,"3D graphics, CAD",Unknown,,,,,
Houdini apprentice file,.hipnc,"3D graphics, CAD",Unknown,,,,,
CADDS data,._pd,"3D graphics, CAD",Unknown,,,,,
Mastercam X7 3D model,.mcx-7,"3D graphics, CAD",Unknown,,,,,
Alphacam router post data,.arp,"3D graphics, CAD",Unknown,,,,,
Steel Markup Language document,.smlx,"3D graphics, CAD",Unknown,,,,,
Poser prop data,.pp2,"3D graphics, CAD",Unknown,,,,,
Dynamite VSP swept object style,.sos,"3D graphics, CAD",Unknown,,,,,
MetaVR 3D model,.hpx,"3D graphics, CAD",Unknown,,,,,
I-DEAS model,.mf1,"3D graphics, CAD",Unknown,,,,,
NI Multisim circuit design,.ms13,"3D graphics, CAD",Unknown,,,,,
SolidWorks eDrawing data,.edw,"3D graphics, CAD",Unknown,,,,,
CATIA 3dmap data,.3dmap,"3D graphics, CAD",Unknown,,,,,
ArchiCAD library container,.lcf,"3D graphics, CAD",Unknown,,,,,
Mastercam X6 3D model,.mcx-6,"3D graphics, CAD",Unknown,,,,,
AggFlow aggregate plant flow diagram,.agz,"3D graphics, CAD",Unknown,,,,,
Plant Design Management System file,.pdms,"3D graphics, CAD",Unknown,,,,,
SolidWorks library part,.sldlfp,"3D graphics, CAD",Unknown,,,,,
Xshade data,.xsh,"3D graphics, CAD",application/vnd.jcp.javame.midlet-rms,,,,,
RiverCAD modeling system data,.rms,"3D graphics, CAD",Unknown,,,,,
Model Builder model design file,.mb4,"3D graphics, CAD",Unknown,,,,,
Alphacam CAD/CAM die-cut drawing,.add,"3D graphics, CAD",Unknown,,,,,
ArgusLab molecular graphics modelling data,.agl,"3D graphics, CAD",Unknown,,,,,
NGRAIN 3D format,.3ko,"3D graphics, CAD",Unknown,,,,,
Poser hand pose data,.hd2,"3D graphics, CAD",Unknown,,,,,
Gerber drill drawing data,.gdd,"3D graphics, CAD",Unknown,,,,,
Lightscape solution,.ls,"3D graphics, CAD",Unknown,,,,,
Kit-O-Mat 3D model,.kom,"3D graphics, CAD",application/vnd.seemail,,,,,
LISCAD Plus CAD design,.see,"3D graphics, CAD",Unknown,,,,,
AICON 3D Scanner photogrammetry data,.obc,"3D graphics, CAD",Unknown,,,,,
iClone motion capture file,.imotion,"3D graphics, CAD",Unknown,,,,,
DeskArtes 3D file,.3de,"3D graphics, CAD",Unknown,,,,,
Poser compressed hand pose data,.hdz,"3D graphics, CAD",Unknown,,,,,
Ball and Stick chemical modeller,.bs,"3D graphics, CAD",Unknown,,,,,
GOM ATOS 3D scan file,.g3d,"3D graphics, CAD",Unknown,,,,,
DoubleCAD CAD data,.2cd,"3D graphics, CAD",Unknown,,,,,
VolumeViz multi-resolution volume image,.ldm,"3D graphics, CAD",Unknown,,,,,
Xfrog vegetation graphics,.xfr,"3D graphics, CAD",Unknown,,,,,
Grasshopper data,.ghx,"3D graphics, CAD",Unknown,,,,,
Gerber bottom pad master data,.gpb,"3D graphics, CAD",Unknown,,,,,
Objects to See 3D file format,.o2c,"3D graphics, CAD",Unknown,,,,,
Poser compressed prop file,.ppz,"3D graphics, CAD",Unknown,,,,,
AutoCAD linetype definition,.lin,"3D graphics, CAD",Unknown,,,,,
Lightscape 3D object,.lp,"3D graphics, CAD",Unknown,,,,,
KayakFoundry 3D design,.yak,"3D graphics, CAD",Unknown,,,,,
3dMD or 3Q Viewer 3D image,.tsb,"3D graphics, CAD",Unknown,,,,,
CATIA analysis data,.catanalysis,"3D graphics, CAD",Unknown,,,,,
Live Home 3D project,.lhzd,"3D graphics, CAD",Unknown,,,,,
Lumion exported full scene,.ls4,"3D graphics, CAD",Unknown,,,,,
L3DT heightfield data,.hff,"3D graphics, CAD",Unknown,,,,,
Mastercam X8 3D model,.mcx-8,"3D graphics, CAD",Unknown,,,,,
Luxology modo 302 3D drawing,.lxo,"3D graphics, CAD",Unknown,,,,,
ANSYS DesignModeler data,.anf,"3D graphics, CAD",Unknown,,,,,
netfabb Basic project,.fabbproject,"3D graphics, CAD",Unknown,,,,,
Macromedia Extreme 3D object,.e3d,"3D graphics, CAD",Unknown,,,,,
Alphacam wire EDM drawing,.aed,"3D graphics, CAD",Unknown,,,,,
Pov-Ray 3D graphics,.get,"3D graphics, CAD",Unknown,,,,,
General project file,.pro,"3D graphics, CAD",Unknown,,,,,
XGL 3D CAD model,.xgl,"3D graphics, CAD",Unknown,,,,,
123D project,.3dmk,"3D graphics, CAD",Unknown,,,,,
WohnungsPlan 3D project,.wds,"3D graphics, CAD",Unknown,,,,,
NI Multisim v11 circuit design,.ms11,"3D graphics, CAD",text/calendar,,,,,
IronCAD 3D CAD data,.ics,"3D graphics, CAD",Unknown,,,,,
Autodesk AutoCAD locked DWG drawing,.dwk,"3D graphics, CAD",Unknown,,,,,
OneCncXR CAD data,.xfa,"3D graphics, CAD",application/x-cdlink,,,,,
VisualCADD drawing,.vcd,"3D graphics, CAD",Unknown,,,,,
Daylon Leveller animation data,.lad,"3D graphics, CAD",Unknown,,,,,
eXtensible virtual world description language file,.xvl,"3D graphics, CAD",Unknown,,,,,
Seetrax Ranger CAD drawing,.rxl,"3D graphics, CAD",Unknown,,,,,
Surfcam 3D format,.scprt,"3D graphics, CAD",Unknown,,,,,
IGES CAD data,.ig2,"3D graphics, CAD",Unknown,,,,,
ELECTRICAL Designer related data,.aef,"3D graphics, CAD",Unknown,,,,,
Artlantis shader preview,.prw,"3D graphics, CAD",Unknown,,,,,
Alphacam stone VB macro,.asb,"3D graphics, CAD",Unknown,,,,,
Alpha Five image library,.bmx,"3D graphics, CAD",Unknown,,,,,
Hexagon 3D model,.hxn,"3D graphics, CAD",Unknown,,,,,
LISCAD adjustment data,.adj,"3D graphics, CAD",Unknown,,,,,
AIMSUN NG related data,.ang,"3D graphics, CAD",Unknown,,,,,
Bridge Design Modeler 3D match-casting geometry control,.mc3,"3D graphics, CAD",Unknown,,,,,
Vector CAD program,.ccd,"3D graphics, CAD",Unknown,,,,,
Orgadata LogiKal object,.lob,"3D graphics, CAD",Unknown,,,,,
Piranesi 3D model,.epx,"3D graphics, CAD",Unknown,,,,,
SolidWorks part custom properties tab template,.prtprp,"3D graphics, CAD",Unknown,,,,,
Right Hemisphere material data,.rhm,"3D graphics, CAD",Unknown,,,,,
CADAM drawing,.cdd,"3D graphics, CAD",Unknown,,,,,
SansGUI object library,.sgo,"3D graphics, CAD",Unknown,,,,,
Artlantis object,.atlo,"3D graphics, CAD",Unknown,,,,,
3D Home Architect project,.bld,"3D graphics, CAD",Unknown,,,,,
Tree Professional Broadleaf Creator image,.brp,"3D graphics, CAD",Unknown,,,,,
3D VRML world data,.3dv,"3D graphics, CAD",Unknown,,,,,
Autodesk AutoCAD movie command,.mvi,"3D graphics, CAD",Unknown,,,,,
DataCAD drawing,.aec,"3D graphics, CAD",application/vnd.yamaha.smaf-phrase,,,,,
StruCAD 3D model,.spf,"3D graphics, CAD",Unknown,,,,,
CityEngine web scene,.3ws,"3D graphics, CAD",Unknown,,,,,
OrCAD capture design or library,.obk,"3D graphics, CAD",Unknown,,,,,
3D-Coat project,.3b,"3D graphics, CAD",Unknown,,,,,
Gerber inner routing layer 2,.g2,"3D graphics, CAD",Unknown,,,,,
Alphacam laser CAD drawing,.ald,"3D graphics, CAD",Unknown,,,,,
Dynamite VSP feature interpretation style,.fis,"3D graphics, CAD",Unknown,,,,,
Valve face flex,.vta,"3D graphics, CAD",Unknown,,,,,
GL Transmission Format binary form,.glb,"3D graphics, CAD",Unknown,,,,,
QuickDraw 3D data,.3df,"3D graphics, CAD",Unknown,,,,,
Compressed XGL 3D CAD model,.zgl,"3D graphics, CAD",Unknown,,,,,
Autodesk adjustment factors,.inp,"3D graphics, CAD",Unknown,,,,,
Gerber inner routing layer 1,.g1,"3D graphics, CAD",Unknown,,,,,
Digital Works circuit project,.dwm,"3D graphics, CAD",Unknown,,,,,
Booria Carpet Designer robotuft project,.brt,"3D graphics, CAD",Unknown,,,,,
Livewire document,.lvw,"3D graphics, CAD",Unknown,,,,,
Impact CAD drawing,.ipd,"3D graphics, CAD",Unknown,,,,,
EnSight results data,.case,"3D graphics, CAD",application/vnd.businessobjects,,,,,
Gerber (PCB) file,.rep,"3D graphics, CAD",Unknown,,,,,
MikuMikuDance PolygonMovieMaker data,.pmm,"3D graphics, CAD",Unknown,,,,,
Autodesk Softimage 3D model,.hrc,"3D graphics, CAD",Unknown,,,,,
Autodesk existing ground section data pointer,.xsp,"3D graphics, CAD",Unknown,,,,,
Google Earth model,.igb,"3D graphics, CAD",Unknown,,,,,
CADKEY dynamic extension file format,.cde,"3D graphics, CAD",Unknown,,,,,
Microsoft Direct-X SDK 3D graphics,.x,"3D graphics, CAD",Unknown,,,,,
SolidWorks general table template,.sldtbt,"3D graphics, CAD",Unknown,,,,,
Jw_cad cad document,.jww,"3D graphics, CAD",Unknown,,,,,
VectorDraw drawing data,.vdml,"3D graphics, CAD",Unknown,,,,,
LightWave scene,.lws,"3D graphics, CAD",Unknown,,,,,
EasyWOOD file,.ewd,"3D graphics, CAD",Unknown,,,,,
KTechlab circuit design,.circuit,"3D graphics, CAD",Unknown,,,,,
Rhino 3D texture,.rtex,"3D graphics, CAD",Unknown,,,,,
CAD6 drawing,.mkd,"3D graphics, CAD",Unknown,,,,,
AutoCAD standardization data,.dws,"3D graphics, CAD",Unknown,,,,,
Gerber top pad master data,.gpt,"3D graphics, CAD",Unknown,,,,,
Razen PCB design,.rzp,"3D graphics, CAD",Unknown,,,,,
CWBench file,.cni,"3D graphics, CAD",Unknown,,,,,
EIAS ElectricImage 3D data,.fact,"3D graphics, CAD",Unknown,,,,,
BobCAD-CAM drawing,.bbcd,"3D graphics, CAD",Unknown,,,,,
KeyTERRA-FIRMA ground model,.kgm,"3D graphics, CAD",Unknown,,,,,
ArchiCAD 9 Education BIM data,.pne,"3D graphics, CAD",Unknown,,,,,
Mastercam toolpath data,.nci,"3D graphics, CAD",Unknown,,,,,
"Alphacam 3D Mill, 2D Mill tool",.amt,"3D graphics, CAD",Unknown,,,,,
PTC Pro/Engineer assembly data,.xas,"3D graphics, CAD",Unknown,,,,,
Pov-Ray for Windows 3.x scenes advanced newltpot file,.c1,"3D graphics, CAD",Unknown,,,,,
Quake 3D engine sprite,.spr,"3D graphics, CAD",Unknown,,,,,
EdgeFX scene,.vnscene,"3D graphics, CAD",Unknown,,,,,
Gerber bottom overlay (silk screen) file,.gbo,"3D graphics, CAD",Unknown,,,,,
Metasequoia 3D object,.mqo,"3D graphics, CAD",Unknown,,,,,
Autodesk AutoCAD heidi device interface,.hdi,"3D graphics, CAD",application/x-netcdf,,,,,
Geopath machine part,.nc,"3D graphics, CAD",Unknown,,,,,
CATIA CATfct data,.CATfct,"3D graphics, CAD",Unknown,,,,,
NEK5000 mesh file,.re2,"3D graphics, CAD",Unknown,,,,,
Maya Exporter RiTE ASCII animation,.raa,"3D graphics, CAD",Unknown,,,,,
SolidWorks drawing custom properties tab template,.drwprp,"3D graphics, CAD",Unknown,,,,,
Chem3D XML format,.c3xml,"3D graphics, CAD",Unknown,,,,,
MicroStation cell library,.cel,"3D graphics, CAD",Unknown,,,,,
3D Landscape data,.lnd,"3D graphics, CAD",Unknown,,,,,
CATIA CATMaterial data,.catmaterial,"3D graphics, CAD",Unknown,,,,,
TurboCAD for Mac drawing,.tcp,"3D graphics, CAD",Unknown,,,,,
MicroStation modification resource data,.m01,"3D graphics, CAD",Unknown,,,,,
HydroCAD project,.hcp,"3D graphics, CAD",Unknown,,,,,
Autodesk intensity duration frequency factors data file,.idf,"3D graphics, CAD",Unknown,,,,,
SolidWorks Weldment Cutlist template file,.sldwldtbt,"3D graphics, CAD",Unknown,,,,,
Autodesk 123D photo scene,.3dp,Font,font/woff2,,,,,
Web Open Font Format 2.0 package,.woff2,Font,Unknown,,,,,
TeX font,.pkt,Font,application/x-font-ttf,,,,,
TrueType font,.ttf,Font,application/vnd.ms-fontobject,,,,,
Embedded OpenType font,.eot,Font,font/woff,,,,,
Web Open Font Format package,.woff,Font,Unknown,,,,,
LaTeX compressed font,.pk,Font,Unknown,,,,,
Font,.fnt,Font,font/otf,,,,,
OpenType font file format,.otf,Font,Unknown,,,,,
Borland language stroke font,.chr,Font,Unknown,,,,,
Apple Macintosh screen font,.bmap,Font,Unknown,,,,,
Adobe PostScript font description data,.ofm,Font,Unknown,,,,,
FontMonger intermediate font,.frf,Font,Unknown,,,,,
Apple Mac OS font suitcase,.suit,Font,application/x-font-type1,,,,,
Type 1 PostScript font,.pfb,Font,Unknown,,,,,
Glyphs character data,.glyphs,Font,Unknown,,,,,
Adobe Type Manager font set,.afs,Font,Unknown,,,,,
